Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_Limit,Junction_Detail,Junction_Control,Pedestrian_Crossing_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Road_Hazards,Vehicle_Reference.x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Pedestrian_Location,Car_Passenger,Bus_or_Coach_Passenger,Vehicle_Reference.y,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_in_Restricted_Lane,Skidding_and_Overturning,Hit_Object_on_Road,Vehicle_veer_off_Road,Hit_Object_off_Road,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_CC,Engine_Type,Age_of_Vehicle
200501CW11143,Slight,2,1,23/7/2005,Saturday,21:45,One way street,30,T-junction,Give-way sign,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Driver,M,34,Slight,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,Y,N,N,Unknown,M,34,599,Petrol,5
200501CW11143,Slight,2,1,23/7/2005,Saturday,21:45,One way street,30,T-junction,Give-way sign,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Driver,M,34,Slight,Not pedestrian,None,None,2,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,54,NA,NA,NA
200501CW11144,Slight,1,1,14/8/2005,Sunday,2:30,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Pedestrian,F,32,Slight,Elsewhere,None,None,1,Car,Reversing,N,No,N,N,N,Unknown,M,-1,1997,Petrol,11
200501CW11145,Slight,2,1,24/11/2005,Thursday,15:15,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,55,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,F,55,NA,NA,NA
200501CW11145,Slight,2,1,24/11/2005,Thursday,15:15,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,55,Slight,Not pedestrian,None,None,2,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,3199,Petrol,5
200501CW11146,Slight,2,2,30/8/2005,Tuesday,14:29,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Passenger,F,32,Slight,Not pedestrian,None,Standing,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,32,8268,Heavy oil,2
200501CW11146,Slight,2,2,30/8/2005,Tuesday,14:29,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Passenger,F,32,Slight,Not pedestrian,None,Standing,2,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW11146,Slight,2,2,30/8/2005,Tuesday,14:29,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,2,Passenger,F,46,Slight,Not pedestrian,None,Standing,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,32,8268,Heavy oil,2
200501CW11146,Slight,2,2,30/8/2005,Tuesday,14:29,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,2,Passenger,F,46,Slight,Not pedestrian,None,Standing,2,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW11147,Serious,2,1,2/8/2005,Tuesday,14:00,Single motorway,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,27,Serious,Not pedestrian,None,None,1,Bicycle,Waiting,N,No,N,N,N,Unknown,M,27,NA,NA,NA
